ID;ESPACIOS CULTURALES;Museo de Antioquia;Biblioteca Pública Piloto;Jardín Botánico;Parque Explora;Planetario
01FN02;Museo de Antioquia;1;2;2;2;2
01FN02;Biblioteca Pública Piloto;0,5;1;3;3;3
01FN02;Jardín Botánico;0,5;0,333333333;1;0,25;0,25
01FN02;Parque Explora;0,5;0,333333333;4;1;1
01FN02;Planetario;0,5;0,333333333;4;1;1
01IN03;Museo de Antioquia;1;2;2;2;2
01IN03;Biblioteca Pública Piloto;0,5;1;4;7;3
01IN03;Jardín Botánico;0,5;0,25;1;0,333333333;2
01IN03;Parque Explora;0,5;0,142857143;3;1;2
01IN03;Planetario;0,5;0,333333333;0,5;0,5;1
01FN04;Museo de Antioquia;1;2;4;4;4
01FN04;Biblioteca Pública Piloto;0,5;1;1;1;2
01FN04;Jardín Botánico;0,25;1;1;1;2
01FN04;Parque Explora;0,25;1;1;1;2
01FN04;Planetario;0,25;0,5;0,5;0,5;1
01IN05;Museo de Antioquia;1;1;3;5;4
01IN05;Biblioteca Pública Piloto;1;1;2;3;2
01IN05;Jardín Botánico;0,333333333;0,5;1;4;2
01IN05;Parque Explora;0,2;0,333333333;0,25;1;3
01IN05;Planetario;0,25;0,5;0,5;0,333333333;1
01FN06;Museo de Antioquia;1;4;4;6;6
01FN06;Biblioteca Pública Piloto;0,25;1;4;6;6
01FN06;Jardín Botánico;0,25;0,25;1;2;2
01FN06;Parque Explora;0,166666667;0,166666667;0,5;1;1
01FN06;Planetario;0,166666667;0,166666667;0,5;1;1
01FN07;Museo de Antioquia;1;1;2;4;2
01FN07;Biblioteca Pública Piloto;1;1;4;2;4
01FN07;Jardín Botánico;0,5;0,25;1;0,5;0,5
01FN07;Parque Explora;0,25;0,5;2;1;1
01FN07;Planetario;0,5;0,25;2;1;1
01FN08;Museo de Antioquia;1;3;4;3;6
01FN08;Biblioteca Pública Piloto;0,333333333;1;4;2;7
01FN08;Jardín Botánico;0,25;0,25;1;2;2
01FN08;Parque Explora;0,333333333;0,5;0,5;1;1
01FN08;Planetario;0,166666667;0,142857143;0,5;1;1
01FN09;Museo de Antioquia;1;0,111111111;0,2;0,142857143;0,166666667
01FN09;Biblioteca Pública Piloto;9;1;8;6;5
01FN09;Jardín Botánico;5;0,125;1;0,166666667;0,2
01FN09;Parque Explora;7;0,166666667;6;1;6
01FN09;Planetario;6;0,2;5;0,166666667;1
01FN10;Museo de Antioquia;1;8;5;7;7
01FN10;Biblioteca Pública Piloto;0,125;1;7;5;5
01FN10;Jardín Botánico;0,2;0,142857143;1;7;7
01FN10;Parque Explora;0,142857143;0,2;0,142857143;1;5
01FN10;Planetario;0,142857143;0,2;0,142857143;0,2;1
01IN11;Museo de Antioquia;1;1;2;2;2
01IN11;Biblioteca Pública Piloto;1;1;6;6;6
01IN11;Jardín Botánico;0,5;0,166666667;1;0,333333333;2
01IN11;Parque Explora;0,5;0,166666667;3;1;2
01IN11;Planetario;0,5;0,166666667;0,5;0,5;1
01FN12;Museo de Antioquia;1;7;8;8;8
01FN12;Biblioteca Pública Piloto;0,142857143;1;7;7;7
01FN12;Jardín Botánico;0,125;0,142857143;1;1;1
01FN12;Parque Explora;0,125;0,142857143;1;1;1
01FN12;Planetario;0,125;0,142857143;1;1;1
01IN13;Museo de Antioquia;1;0,25;0,25;0,25;0,25
01IN13;Biblioteca Pública Piloto;4;1;2;2;2
01IN13;Jardín Botánico;4;0,5;1;1;1
01IN13;Parque Explora;4;0,5;1;1;1
01IN13;Planetario;4;0,5;1;1;1
01FN14;Museo de Antioquia;1;8;9;9;9
01FN14;Biblioteca Pública Piloto;0,125;1;7;7;7
01FN14;Jardín Botánico;0,111111111;0,142857143;1;1;1
01FN14;Parque Explora;0,111111111;0,142857143;1;1;1
01FN14;Planetario;0,111111111;0,142857143;1;1;1
01IN16;Museo de Antioquia;1;1;4;4;4
01IN16;Biblioteca Pública Piloto;1;1;5;3;3
01IN16;Jardín Botánico;0,25;0,2;1;1;1
01IN16;Parque Explora;0,25;0,333333333;1;1;1
01IN16;Planetario;0,25;0,333333333;1;1;1
01FN17;Museo de Antioquia;1;0,125;0,166666667;0,111111111;0,125
01FN17;Biblioteca Pública Piloto;8;1;0,142857143;6;8
01FN17;Jardín Botánico;6;7;1;1;1
01FN17;Parque Explora;9;0,166666667;1;1;1
01FN17;Planetario;8;0,125;1;1;1
01FN18;Museo de Antioquia;1;0,333333333;2;2;2
01FN18;Biblioteca Pública Piloto;3;1;3;3;3
01FN18;Jardín Botánico;0,5;0,333333333;1;1;1
01FN18;Parque Explora;0,5;0,333333333;1;1;1
01FN18;Planetario;0,5;0,333333333;1;1;1
01IN19;Museo de Antioquia;1;1;2;3;3
01IN19;Biblioteca Pública Piloto;1;1;5;2;4
01IN19;Jardín Botánico;0,5;0,2;1;1;1
01IN19;Parque Explora;0,333333333;0,5;1;1;1
01IN19;Planetario;0,333333333;0,25;1;1;1
01IN20;Museo de Antioquia;1;1;1;1;1
01IN20;Biblioteca Pública Piloto;1;1;1;1;1
01IN20;Jardín Botánico;1;1;1;1;1
01IN20;Parque Explora;1;1;1;1;1
01IN20;Planetario;1;1;1;1;1
01IN21;Museo de Antioquia;1;0,25;1;5;3
01IN21;Biblioteca Pública Piloto;4;1;1;6;5
01IN21;Jardín Botánico;1;1;1;1;1
01IN21;Parque Explora;0,2;0,166666667;1;1;1
01IN21;Planetario;0,333333333;0,2;1;1;1
01IN22;Museo de Antioquia;1;0,2;1;1;1
01IN22;Biblioteca Pública Piloto;5;1;3;3;3
01IN22;Jardín Botánico;1;0,333333333;1;1;1
01IN22;Parque Explora;1;0,333333333;1;1;1
01IN22;Planetario;1;0,333333333;1;1;1
01FN23;Museo de Antioquia;1;3;2;2;2
01FN23;Biblioteca Pública Piloto;0,333333333;1;6;4;4
01FN23;Jardín Botánico;0,5;0,166666667;1;6;6
01FN23;Parque Explora;0,5;0,25;0,166666667;1;1
01FN23;Planetario;0,5;0,25;0,166666667;1;1
01FN24;Museo de Antioquia;1;2;2;2;2
01FN24;Biblioteca Pública Piloto;0,5;1;4;4;4
01FN24;Jardín Botánico;0,5;0,25;1;2;2
01FN24;Parque Explora;0,5;0,25;0,5;1;1
01FN24;Planetario;0,5;0,25;0,5;1;1
01FN25;Museo de Antioquia;1;3;4;4;4
01FN25;Biblioteca Pública Piloto;0,333333333;1;3;3;3
01FN25;Jardín Botánico;0,25;0,333333333;1;2;2
01FN25;Parque Explora;0,25;0,333333333;0,5;1;3
01FN25;Planetario;0,25;0,333333333;0,5;0,333333333;1
02FN01;Museo de Antioquia;1;1;3;0,333333333;5
02FN01;Biblioteca Pública Piloto;1;1;5;3;5
02FN01;Jardín Botánico;0,333333333;0,2;1;1;1
02FN01;Parque Explora;3;0,333333333;1;1;1
02FN01;Planetario;0,2;0,2;1;1;1
02FN02;Museo de Antioquia;1;0,142857143;0,111111111;0,111111111;7
02FN02;Biblioteca Pública Piloto;7;1;0,142857143;0,142857143;0,142857143
02FN02;Jardín Botánico;9;7;1;0,142857143;9
02FN02;Parque Explora;9;7;7;1;9
02FN02;Planetario;0,142857143;7;0,111111111;0,111111111;1
02FN03;Museo de Antioquia;1;1;5;5;5
02FN03;Biblioteca Pública Piloto;1;1;7;7;5
02FN03;Jardín Botánico;0,2;0,142857143;1;0,2;0,2
02FN03;Parque Explora;0,2;0,142857143;5;1;1
02FN03;Planetario;0,2;0,2;5;1;1
02FN04;Museo de Antioquia;1;9;9;0,111111111;9
02FN04;Biblioteca Pública Piloto;0,111111111;1;7;0,142857143;7
02FN04;Jardín Botánico;0,111111111;0,142857143;1;0,142857143;7
02FN04;Parque Explora;9;7;7;1;7
02FN04;Planetario;0,111111111;0,142857143;0,142857143;0,142857143;1
02FN05;Museo de Antioquia;1;0,2;7;5;3
02FN05;Biblioteca Pública Piloto;5;1;3;1;1
02FN05;Jardín Botánico;0,142857143;0,333333333;1;0,2;0,333333333
02FN05;Parque Explora;0,2;1;5;1;1
02FN05;Planetario;0,333333333;1;3;1;1
02FN06;Museo de Antioquia;1;1;3;1;1
02FN06;Biblioteca Pública Piloto;1;1;5;3;3
02FN06;Jardín Botánico;0,333333333;0,2;1;0,2;0,2
02FN06;Parque Explora;1;0,333333333;5;1;1
02FN06;Planetario;1;0,333333333;5;1;1
02IN07;Museo de Antioquia;1;1;7;3;3
02IN07;Biblioteca Pública Piloto;1;1;3;1;1
02IN07;Jardín Botánico;0,142857143;0,333333333;1;1;1
02IN07;Parque Explora;0,333333333;1;1;1;1
02IN07;Planetario;0,333333333;1;1;1;1
02FN08;Museo de Antioquia;1;1;3;0,2;0,2
02FN08;Biblioteca Pública Piloto;1;1;5;5;5
02FN08;Jardín Botánico;0,333333333;0,2;1;0,333333333;0,333333333
02FN08;Parque Explora;5;0,2;3;1;0,2
02FN08;Planetario;5;0,2;3;5;1
02FN09;Museo de Antioquia;1;1;7;3;3
02FN09;Biblioteca Pública Piloto;1;1;9;1;1
02FN09;Jardín Botánico;0,142857143;0,111111111;1;1;1
02FN09;Parque Explora;0,333333333;1;1;1;1
02FN09;Planetario;0,333333333;1;1;1;1
02FN10;Museo de Antioquia;1;1;1;1;1
02FN10;Biblioteca Pública Piloto;1;1;1;1;1
02FN10;Jardín Botánico;1;1;1;1;1
02FN10;Parque Explora;1;1;1;1;1
02FN10;Planetario;1;1;1;1;1
02FN11;Museo de Antioquia;1;7;7;5;5
02FN11;Biblioteca Pública Piloto;0,142857143;1;5;1;1
02FN11;Jardín Botánico;0,142857143;0,2;1;0,2;0,333333333
02FN11;Parque Explora;0,2;1;5;1;1
02FN11;Planetario;0,2;1;3;1;1
02IN12;Museo de Antioquia;1;0,2;5;3;3
02IN12;Biblioteca Pública Piloto;5;1;7;7;7
02IN12;Jardín Botánico;0,2;0,142857143;1;1;0,2
02IN12;Parque Explora;0,333333333;0,142857143;1;1;1
02IN12;Planetario;0,333333333;0,142857143;5;1;1
